2025-07-31 17:18:17,659 | INFO     | __main__ | Creating credentials.json...
2025-07-31 17:18:17,659 | INFO     | __main__ | Bot starting...
2025-07-31 17:18:17,721 | INFO     | __main__ | Disconnecting from the database and shutting down
2025-07-31 17:19:11,793 | INFO     | __main__ | Creating credentials.json...
2025-07-31 17:19:11,794 | INFO     | __main__ | Bot starting...
2025-07-31 17:19:11,817 | INFO     | __main__ | Disconnecting from the database and shutting down
2025-07-31 17:26:08,159 | INFO     | __main__ | Creating credentials.json...
2025-07-31 17:26:08,159 | INFO     | __main__ | Bot starting...
2025-07-31 17:26:08,199 | INFO     | __main__ | Disconnecting from the database and shutting down
